No	銘柄名	保有会社	市場	コード	保有株数	平均取得単価	投資額	現在価格	損益	損益率	1株配当金	配当利回り	配当金額	購入日	売却日	実現損益	目標価格	市場・セクター	目的
127	ＳＢＩホールディングス	楽天	国内	8473	2	2,852.00	5704	4,321.00	2938	1.03%	150.12	3.47%	300.24					
128	ＭｒＭａｘＨＤ	楽天	国内	8203	10	610	6100	682	720	1.18%	27	3.96%	270					
129	ダナハー・コーポレーション	PayPay	米国	DHR	0.13395	229.56	30.749562	206.3000031	-467.3514887	-2.04%	0.96	0.47%	0.128592					
131	ラストワンマイル	SBI	国内	9252	1	3,695	3695	3,095	-600	-0.16%	0	0.00%	0					
132	純金上場信託	楽天	国内	1540	2	7,254.50	14509	13,550.00	12591	1.74%	0	0.00%	0					
133	リンクアンドモチベーション	楽天	国内	2170	10	429	4290	574	1450	3.38%	10.4	1.81%	104					
135	日立	楽天	国内	6501	5	1,764.00	8820	4,312.00	12740	7.22%	155.48	3.61%	777.4					
136	きょくとう	楽天	国内	2300	100	486.55	48655	528	4145	8.52%	6	1.14%	600					
138	ハーモニー・ゴールド・マイニング	楽天	米国	HMY	1	10.58	10.58	11.42000008	126.0000114	11.91%	0.11	0.96%	0.11					
139	ゾエティス	PayPay	米国	ZTS	0.17708	194.32	34.4101856	157.52	-977.4816	-5.03%	1.72	1.09%	0.3045776					
140	タイワン・セミコンダクタ	楽天	米国	TSM	1	187.13	187.13	203.8999939	2515.499084	13.44%	2.32	1.14%	2.32					
141	ドラフト	楽天	国内	5070	100	545	54500	621	7600	13.94%	6	0.97%	600					優待のクオカード
142	東リ	楽天	国内	7971	100	398	39800	475	7700	19.35%	16	3.37%	1600					
143	不二サッシ	SBI	国内	5940	1	869	869	680	-189	-0.22%	0	0.00%	0					
144	グローバルX ロボット＆AI・ETF	楽天	米国	BOTZ	1	28.31	28.31	33.81999969	826.4999542	29.19%	0	0.00%	0					
145	フィグス	楽天	米国	FIGS	2	4.78	9.56	5.5	216	45.19%	0	0.00%	0					
148	日本トランスシティ	楽天	国内	9310	100	614	61400	993	37900	61.73%	6	0.60%	600					
149	クラウドフレア	楽天	米国	NET	2	129.2275	258.455	171.1600037	12579.7511	97.35%	0	0.00%	0					
150	JPモルガン・ナスダック米国株式プレミアム・インカムETF	楽天	米国	JEPQ	5	53.19	265.95	52.65	-405	-7.61%	0.4823	0.92%	2.4115	2025/03/11				
151	商船三井	SBI	国内	9104	3	5,502	16506	5,488	-42	-0.01%	72.5	1.32%		2025/03/21			配当
152	ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信	SBI	国内	1328	1	10,995	10995	10,995	0	0.00%	0	0.00%					
153	インダストリアル	楽天	米国	CNH	2	13.09	26.18	13.025	-19.5	-1.49%	0.25	1.92%		2025/06/19		20.025	工業セクター強化
154	インテル	楽天	米国	INTC	1	21.4778	21.4778	21.4	-11.67	-0.54%	0	0.00%		2025/06/19		40	テクノロジーセクター強化
155	セーフィー	楽天	国内	4375	5	1,089.00	5445	1,089	0	0.00%	0	0.00%		2025/06/26		3000	置き配標準化による防犯カメラ購入の市場動向
